Client,Project Name,Phase,Contract Value,Hourly Rate,Offered Hours,Logged Hours,Industry,Company Size,Employees,Revenue,Has Grant,Grant Size,Description
"PENZEGYETEM","PENZEGYETEM","Quotation","0","0","0","0","","","","","Yes","20000000",""
"PHARMAROAD","12345 teszt","Quotation","232000","0","0","0","","","","0","Yes","20000000",""
"TAXOLOGY","TAXOLOGY","Quotation","0","0","0","0","","","","","Yes","20000000",""
"VSWEB","VSWEB","Quotation","232000","0","0","0","","","","","Yes","20000000",""
"MAURONI EVENTS","MAURONI EVENTS","Quotation","250000","0","0","0","","","","","Yes","20000000",""
"DRIVELINE CAR","audit","Quotation","232000","0","0","0","","","","0","Yes","20000000",""
"Hungarorisk","Hungarorisk","Quotation","250000","0","0","0","","","","0","Yes","15000000",""
"RÁKOSY GLASS","RÁKOSY GLASS","Lead","232000","0","0","0","","","","","Yes","20000000",""
"REM189","REM189","Lead","0","0","0","0","","","","","Yes","20000000",""
"NEXUS CONSTRUCTIONS","NEXUS CONSTRUCTIONS","Lead","0","0","0","0","","","","","No","",""
"UP2YOU UNIT","UP2YOU UNIT","Lead","232000","0","0","0","","","","","Yes","20000000",""
"VELEKEY ÉKSZERVILÁG","VELEKEY ÉKSZERVILÁG","Lead","0","0","0","0","","","","","No","",""
"LOGIFY","LOGIFY","Lead","232000","0","0","0","","","","","Yes","20000000",""
"HITELTANACSOKOSAN","HITELTANACSOKOSAN","Audit","1700000","0","0","0","","","","","Yes","1700000",""
"AI LUMI","AI LUMI","Quotation","6510000","0","0","0","","","","","No","",""
"MÁRTONKA NÉNI","MÁRTONKA NÉNI","Lead","232000","0","0","0","","","","","No","",""
"VASALAT EXPRESS","VASALAT EXPRESS","Quotation","232000","0","0","0","","","","","Yes","20000000",""
"B&G","B&G","Lead","0","0","0","0","","","","","No","",""
"WAGNER GLOBAL SERVICES","WAGNER GLOBAL SERVICES","Lead","0","0","0","0","","","","","Yes","20000000",""
"ESZES ÜGYVÉDI IRODA","ESZES ÜGYVÉDI IRODA","Lead","0","0","0","0","","","","","No","",""
"SOLAR WORKS","SOLAR WORKS","Lead","0","0","0","0","","","","","No","",""
"DIGITOP","DIGITOP","Lead","0","0","0","0","","","","","No","",""
"Vapi dobozos","Vapi dobozos","Lead","0","0","0","12.1","","","","","No","",""
"VASALAT EXPRESS","audit","Audit","232000","0","0","0","","","","0","No","0",""
